CustomerId,CustomerName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ExtraColumn1,ExtraColumn2
#DIV/0!,DAVID BROWN,509,Nigeria ,Girl,25,10,26981.43,1,no,1,70096.0,0.0,A,
SO02198,"David,Smith",572,South Africa,F,31,-10,"15,297.25",1,0,FALSE,73085.0,0.0,,
CUST_002229, David Smith ,820,canada,FEMALE,41,3,  ,,1,1,"$89,256",0.0,B,456
2219,S£arah Smith,490, Nigeria ,m,36,6,59579.73,1,0,1,76830.0,0.0,,
ID-2882,"James,Jones",461,chile,girl,45,7,999999999,2,0,0,21390.0,0.0,,
UA01111,"Jane,Brown",492,UAE,Man,42,2,??,2,true,1,53182.0,0.0,,
C1334,LISA JOHNSON,493,Colombia ,female,29,3,5322.39,1,1,n/a,undefined,0.0,,
C2515,Robert Rodriguez,499,Brazil ,MAN,empty,2,52691.56,2,0,inactive,-,0.0,,
CUST_001572,Michael Miller,694,Mexico,unknown,32,10,inf,3,0,1,129833.0,0.0,,
CUST_002298, John Brown ,511,Australia,Boy,33,2,23753.21,2,0,ACTIVE,38273.0,0.0,,
ID-2732,sarah johnson,625,USA ,WOMAN,51,3,_,2,false,0,32479.0,0.0,,
1120,maria garcia,661, USA,female,36,2,41913.37,2,1,TRUE,"$126,070",0.0,,
C1461,JANE SMITH,545,Japan ,female,30,6,"$139,082.80",4,FALSE,1,UNDEFINED,0.0,,
US02318, David Williams ,688,USA,Girl,42,na,14668.4,1,TRUE,0,88601.0,0.0,B,
2407,jane williams,720, USA,M,28,7,"42,273.46",3,0,1,32087.0,0.0,,
CUST_001750, çJames Johnson ,434,PERU,m,36,5,2257.48,4,__,1,23473.0,1.0,,
ID-1410,"Sarah,Garcia",621,uk,Man,18,?,43451.9,4,0,ACTIVE,"$88,864",0.0,,
IT01618,james garcia,590,italy,Boy,-5,3,71565.84,3,0,0,"$59,797",0.0,,
2397,JAMES JOHNSON,619,UK,MAN,33,10,"$86,400.80",2,VOID,1,45752.0,0.0,,
IT02279,Lisa Williams,559,Italy ,woman,40,11,19918.93,NA,0,0,35251.0,0.0,,
ID-2141,ROBERT BROWN,689,MEXICO,MALE,41,9,105087.77,1,1,1,?,0.0,,
C2971,SARAH WILLIAMS,589,Germany ,FEMALE,51,8,71451.0,2,0,0,28619.0,0.0,,
0, Jane Smith ,451,SINGAPORE,MALE,999,2,57453.65,2,1,false,"$96,049",1.0,,
CUST_002908, Robert Williams ,537,brazil,m,30,6,2323.68,1,0,1,39984.0,0.0,,
CUST_001674,Michael Brown,543,argentina,male,-,4,163991.46,3,False,1,32573.0,0.0,,
1915,Jane Miller,9999,Egypt,Boy,25,7,67160.22,2,1,1,36931.0,1.0,,
CUST_001447,"Emilñy,Jones",592,south africa,Boy,37,6,"7,446.56",4,n,Active,35998.0,0.0,,
UK01732,david martinez,591,UK,MALE,?,4,83073.44,1,0,1,85216.0,0.0,,
IN01413,MARIA WILLIAMS,535, India ,MALE,18,5,40448.9,50,0,1,86075.0,0.0,,
1392,EMILY JONES,735,Canada ,boy,60,2,54689.59,2,y,active,71128.0,1.0,,
CUST_002697,Robert Smith,643, USA,F,18,6,283634.83,2,0,0,114057.0,0.0,,
1576, Sarah Johnson ,-100,Canada,female,18,6,95710.81,1,missing,1,134928.0,0.0,,
CUST_002692,sarah rodriguez,583, Netherlands ,MAN,18,7,61378.62,1,0,0,Null,1.0,,
CUST_001781,Michael Jones,1200, South Korea ,f,22,4,79714.54,2,1,0,27753.39,0.0,,
IT02423,"Jane,Jones",615, Italy ,female,57,4,"$6,794.04",2,1,1,78321.0,0.0,,
ID-1386,emily johnson,441,PERU,Female,27,2,94671.81,1,1,true,62720.0,1.0,,
1968,"James,Rodriguez",611,Spain ,Girl,29,2,14342.51,3,No,FALSE,93260.0,0.0,,
SA02769,maria garcia,999,saudi arabia,MALE,50,8,122083.97,2,n,1,33839.0,1.0,,
1218,JANE MILLER,504,Saudi Arabia,boy,28,6,47994.7,1,0,Inactive,42856.0,1.0,B,
C1739,"Michael,Smith",575,Germany,-inf,32,2,214700.51,2,FALSE,1,35954.0,0.0,,
CUST_002391,john davis,n/a, USA ,Woman,39,5,32883.62,-1,0,0,35097.0,0.0,,
C2962,"James,Davis",552,south africa,woman,38,6,15084.67,1,1,Active,n/a,0.0,,
CUST_001389,jøohn davis,770,CANADA,Woman,38,1,45928.67,2,0,1,140072.0,1.0,,
2257,"Emily,Smith",558, Japan ,f,45,6,130523.91,1, ,true,57003.0,1.0,,
1927,maria johnson,,south korea,WOMAN,44,7,131.78,nil,0,0,56072.0,1.0,,
ID-1059,Jamesø Davis,717,CANADA,man,25,5,13884.64,1,0,1,75274.10,0.0,,
C1771,James Jones,534,SAUDI ARABIA,female,47,5,999999999,4,0,0,56807.0,0.0,,
ID-1076,MICHAEL JONES,576, Singapore ,Female,44,5,"7,591.00",1,1,active,59869.42,0.0,,
2222, Emily Brown ,538,Canada ,woman,42,3,23539.98,1,FALSE,0,72297.0,0.0,,
CUST_002867,Michael Martinez,560,GERMANY,Girl,44,5,0,1,0,1,97929.0,0.0,,
1207,EMILY GARCIA,574,South Korea ,F,18,3,67335.25,4,0,0,42403.0,1.0,,
C2488,Emily Martinez,453,Brazil ,woman,VOID,2,na,2,0,1,54666.0,0.0,,
UK01623, Sarah Garcia ,636,uk,Female,42,4,5370.76,3,1,false,43969.0,0.0,,
ID-1934, Lisa Brown ,538, Netherlands,man,75,9,11859.46,2,1,0,26901.0,0.0,C,123
C1135, Maria Smith ,467,colombia,Boy,52,4,53624.62,4,True,0,"$18,134",0.0,,
ID-2778,JANE MARTINEZ,550,south korea,m,18,10,19938.92,2,n,1,"$99,602",0.0,,
ID-1125, Emily Johnson ,507,egypt,boy,18,7,"$100,882.15",2,1,0,49580.0,0.0,,
C1252,David Miller,529, Egypt ,girl,32,6,"$23,086.95",1,0,0,73265.0,1.0,,
CUST_002510, Michael Rodriguez ,515,Peru,Woman,43,3,41133.55,1,1,1,19742.0,0.0,,
FR01898,Michael Jones,561, France,Girl,41,7,148874.59,3,no,1,52114.0,0.0,,
C1234, Maria Jones ,643, Canada,female,18,5,254552.06,3,0,0,104808.71,0.0,,
CUST_002441,Emily Martinez,608,ITALY,Boy,150,5,NA,1,NO,0,103583.0,1.0,,
#VALUE!,"John,Davis",463,Brazil,Infinity,53,7,58940.33,1,1,0,55646.0,0.0,,
ID-2977, James Smith ,506,Nigeria ,Boy,41,8,0,4,0,1,"$71,047",0.0,,
UA02840,james martinez,9999,uae,Boy,40,1,29282.61,2,0,false,66226.0,0.0,,
CA02479,DAVID BROWN,620,Canada,f,38,7,17266.56,3,1,0,"$137,277",0.0,,
ID-2082,SARAH DAVIS,696,CANADA,Woman,28,2,31262.37,4,1,Infinity,"$143,380",0.0,,
AR01981,Sarah Garcia,492,Argentina,Man,52,4,18563.85,2,1,1,39973.0,0.0,,
C1986,DAVID JOHNSON,629,Canada ,Boy,45,3,11140.2,1,1,0,79688.0,0.0,,
IT02096,JANE JONES,458, Italy ,woman,40,6,4233.68,2,N,1,56955.0,0.0,,
AU01851,"Sarah,Rodriguez",-inf,AUSTRALIA,man,44,3,47753.51,3,0,1,"$32,600",0.0,,
??, Jane Miller ,570,South Africa ,Male,55,7,12155.27,2,0,1,73881.36,0.0,,
US01409,Michael Garcia,637, USA,man,40,8,16222.09,4,0,0,NaN,1.0,,
C2010,"John,Smith",556,SOUTH AFRICA,Female,34,9,"$19,411.01",#VALUE!,1,1,23402.0,0.0,,
C1000,"Sarah,Brown",699, USA,man,36,N/A,65837.28,2,0,0,48722.0,0.0,,
C1697,"John,Brown",403,Saudi Arabia ,f,,4,999999999,2,no,0,30585.0,0.0,,
C1711,"John,Rodriguez",620,Italy,Female,49,5,19796.2,2,yes,TRUE,113393.0,0.0,,
inf,john garcia,583,FRANCE,Boy,18,4,28121.38,3,1,False,53638.0,0.0,,
BR01605, John Jones ,548, Brazil ,boy,UNKNOWN,5,109731.07,2,1,n/a,35448.0,1.0,,
ID-2610,"Jane,Jones",507, South Korea,woman,25,2,88617.07,3,0,0,72946.0,0.0,,
SO01763,ROBERT MARTINEZ,499,South Africa,WOMAN,50,5,5309.87,3,-inf,0,Infinity,0.0,,
CUST_001146, Mic©hael Brown ,522, Australia ,M,18,6,"$63,221.14",2,1,False,99300.0,1.0,,
UA01407,"David,Jones",468,uae,f,50,MISSING,_,2,0,0,42874.62,1.0,,
CA02601,"Lisa,Johnson",710,CANADA,MAN,41,4,34501.79,2,0,1,100613.0,0.0,,
1095,MICHAEL RODRIGUEZ,610,NETHERLANDS,girl,58,4,13068.81,1,TRUE,0,32311.0,0.0,,
ID-1316,"Lisa,Johnson",625,australia,Girl,29,10,63009.02,1,0,0,36180.0,0.0,,
C2507, Emily Miller ,479, India,Girl,32,5,6518.77,2,0,TRUE,42113.0,0.0,,
CUST_002180,ROBERT GARCIA,999, Chile,male,40,6,68077.51,2,1,0,41730.0,0.0,,
CUST_002389,emily martinez,__,NIGERIA,boy,20,5,38106.31,2,0,0,20995.0,0.0,,
C1480,robert williams,447,ARGENTINA,Infinity,63,7,66805.24,1,1,0,45860.0,1.0,,
UA01701,Jane Garcia,514, UAE ,MAN,18,5,MISSING,2,0,0,36299.0,0.0,,
SI01966,Robert Miller,564,singapore,M,38,4,178949.25,-,0,0,69405.0,0.0,,
CUST_001626,"Jane,Jones",498,Colombia,male,56,-1,112569.69,1,0,1,41689.0,1.0,,
C2004,lisa jones,642,Singapore ,m,-5,3,29213.86,2,1,0,nil,0.0,,
ID-2119,Jane Rodriguez,599,france,girl,22,3,18655.15,1,-inf,1,107143.0,0.0,,
CUST_002360, Maria Miller ,493,Singapore ,M,28,6,58452.83,2,1,1,55957.0,0.0,,
CUST_001961, Michael Jones ,608, Mexico ,m,45,0,70765.68,4,1,1,127190.0,1.0,,
CUST_002166,Lisa Smith,678,USA ,MALE,35,12,"72,067.25",inf,1,0,41972.0,0.0,,
1562,"Robert,Davis",731, USA,woman,36,1,57010.9,3,1,0,47593.0,0.0,,
C1976,James Brown,568, South Korea,Female,42,1,"$49,625.52",4,1,1,"$46,497",0.0,,
CUST_001265,Maria Sémith,478, Peru,F,UNDEFINED,9,3794.49,2,NO,1,Null,0.0,,
2377,daviüd garcia,514, Colombia ,Male,,3,97825.66,4,1,1,,1.0,,
BR01502,Lisa Williams,495,brazil,MAN,23,3,528.44,3,0,1,73065.0,0.0,,
ID-1179,jane garcia,534,chile,M,50,5,"4,638.69",1,None,1,53885.0,1.0,,
CUST_002564,"Sarah,Johnson",EMPTY, Argentina ,WOMAN,34,3,14475.79,2,0,1,55094.0,0.0,,
2492,MICHAEL WILLIAMS,582, Italy,M,24,4,5050.5,3,0,0,96489.0,0.0,,
SA01903, Lisa Davis ,521,Saudi Arabia,F,49,9,"$5,600.01",1,1,0,38968.0,1.0,,
CUST_001837,ROBERT BROWN,445,BRAZIL,MAN,71,5,7579.14,3,0,0,N/A,0.0,B,
ID-1787, Emily Jones ,685, Netherlands,F,55,2,3871.62,2,0,0,117097.0,0.0,,
CUST_002644,Emily Brown,577,South Africa,male,54,6,82979.76,1,1,Inactive,81589.0,0.0,,
C1553,"Sarah,Smith",494,Colombia ,f,28,7,71850.17,1,false,active,15560.0,0.0,,
ME02665, James Smith ,697,Mexico,WOMAN,39,7,47024.15,2,0,1,90665.0,1.0,,
ID-1483, Emily Smith ,623,netherlands,m,42,3,1857.12,1,0,1,104246.0,0.0,,
ME02790,MARIA JONE©S,762,Mexico ,Man,21,6,18271.66,2,1,0,89759.0,1.0,,
SP01604,Robert Garcia,-100,Spain ,Male,28,6,"$34,476.62",2,0,1,66857.0,0.0,,
2019,SARAH MARTINEZ,513, Colombia,m,999,3,_,1,1,1,15909.0,0.0,A,
CUST_002436,LISA DAVIS,476, Egypt,void,41,2,145168.1,4,0,1,"$34,236",1.0,,
2753,jane miller,492,JAPAN,boy,32,5,10674.02,2,1,0,32573.0,1.0,,
C2965,maria davis,543,South Africa ,F,52,2,"$47,894.28",1,0,0,78669.16,0.0,,
ID-1458,Lisa Brown,651,NIL,m,58,7,24987.75,2,0,0,NIL,0.0,,
JA02081,michael davis,568, Japan,Boy,24,4,1168.9,1,0,0,96341.0,0.0,,
ID-1799,"Michael,Smith",534,COLOMBIA,Woman,50,9,186.33,1,0,ACTIVE,EMPTY,0.0,,456
2353,"Maria,Martinez",402,Brazil ,Female,48,10,"$2,646.57",4,Y,0,N/A,1.0,,
ID-1826,jane jones,499, Colombia ,FEMALE,23,2,7756.0,3,no,1,missing,0.0,,
2112,David Miller,545, Japan ,Male,54,8,48858.59,2,0,1,52053.0,0.0,,
NI01890,"David,Jones",508,Nigeria ,woman,60,6,38990.43,3,1,0,72845.0,1.0,,
, John Smith ,515,chile,man,46,11,"$25,334.69",4,1,1,,0.0,,
CUST_001294,DAVID SMITH,VOID,missing,boy,46,6,417.74,2,1,1,33799.0,0.0,,
ID-1802, Robert Rodriguez ,486,Argentina ,woman,33,5,0,1,1,0,56646.0,0.0,,
2118,Sañrah Rodriguez,597,Italy,F,27,7,6247.68,2,undefined,0,-10000,0.0,,
ID-2135,"Sarah,Williams",526, Peru ,boy,18,3,"34,578.57",2,0,0,34228.0,0.0,,
CUST_002056,john martinez,645,netherlands,WOMAN,-5,11,62418.57,1,1,1,61709.0,1.0,,
na,"Maria,Davis",645,GERMANY,male,58,EMPTY,"78,595.30",1,0,ACTIVE,67212.0,0.0,,
2371,Michael Garcia,563,south korea,woman,31,-10,90553.29,3,0,1,71607.0,0.0,,
GE01651,Robert Davis,565, Germany,Man,27,empty,9482.86,2,1,1,111529.0,0.0,,
ID-2041,david rodriguez,empty,Germany ,girl,32,4,-50000,  ,1,1,30271.0,0.0,,
NE02526,maria jones,602,Netherlands ,girl,70,--,96766.91,2,0,0,104323.0,0.0,,
2369,"Michael,Martinez",615, UK ,m,41,8,"$226,671.50",3,0,0,116397.0,0.0,,
1247,EMILY GARCIA,640,mexico,M,32,4,35782.85,1,1,0,63140.0,1.0,,
AR02876,"Robert,Smith",518,ARGENTINA,female,18,8,31500.22,2,1,1,NaN,0.0,,
UK01796,michael martinez,679, UK ,Female,43,4,28726.78,2,0,0,95637.0,0.0,,
1139,Lisa Williams,787, Canada,Man,56,6,unknown,1,0,0,30908.0,0.0,,
ID-1344,LISA WILLIAMS,509,argentina,Female,41,5,33289.3,4,#NULL!,1,17604.0,0.0,,
AU02048, Emily Rodriguez ,575,australia,FEMALE,27,4,unknown,3,False,1,64565.0,0.0,,
CUST_002421,JOHN RODRIGUEZ,633, Italy,FEMALE,28,3,3591.79,1,0,0,-10000,0.0,,
C2820,Sarah Williams,500,Japan ,woman,53,6,14352.24,2,false,MISSING,30364.0,0.0,,
2725,"Maria,Garcia",729,Mexico,girl,18,6,#NULL!,3,1,Active,31575.0,1.0,,
CUST_002530,RøOBERT GARCIA,497,BRAZIL,MALE,41,8,-50000,3,0,1,63474.0,0.0,,
2626,JANE BROWN,628,Spain,female,42,7,7737.79,2,0,1,95233.0,0.0,,
UA02694, Lisa Garcia ,502,uae,Woman,51,5,62634.25,1,0,1,30717.0,0.0,,
CUST_001641,Michael Williams,597,UK,M,43,2,5857.22,1,0,0,69113.0,1.0,,
NI02322,Lisa Davis,460, Nigeria,Boy,34,5,--,1,1,0,40018.0,0.0,,
ID-1526, Michael Martinez ,504,Japan ,M,23,Infinity,133445.51,1,yes,1,75735.0,0.0,,
SO01475,LISA GARCIA,460, South Africa ,Girl,33,7,#N/A,3,1,0,79023.0,0.0,,
ID-1620,david martinez,472, Brazil ,Male,40,7,55305.14,2,No,0,45596.0,0.0,,
ID-1775,SARAH JONES,419, Japan,male,34,5,4978.23,1,0,True,32235.0,0.0,,
CUST_002503,MARIA BROWN,483, UAE,Girl,25,5,5659.03,??,TRUE,0,"$39,067",0.0,,
C1067,John Williams,588, Japan ,MAN,36,5,8972.23,3,1,active,73216.0,0.0,,
CUST_002328,"David,Williams",559,INDIA,female,N/A,2,"$89,061.60",2,0,1,48647.0,0.0,,
UK02104,michael martinez,608, UK ,Man,54,8,0,3,0,INACTIVE,66042.0,0.0,,
C2748,Robert Smith,999,Mexico,male,41,3,nan,3,False,1,,0.0,,
C1538,DAVID WILLIAMS,void,italy,Female,24,5,7788.27,3,0,ACTIVE,72559.0,1.0,,
ID-2927,john johnson,593,Italy,female,42,4,28275.1,2,0,#NULL!,80261.0,0.0,,
CA01074,JOHN WILLIAMS,558, Canada ,girl,44,8,6008.94,4,False,ACTIVE,--,1.0,,
SO01094,ROBERT MILLER,508, South Africa ,Boy,43,3,59770.52,1,0,0,84557.0,1.0,,
C1742,SARAH JOHNSON,531,India ,f,33,3,"11,546.36",3,-inf,Inactive,32663.0,0.0,,
ID-1566,"Lisa,Williams",536,ARGENTINA,empty,39,3,30768.86,2,1,0,19694.0,0.0,,
CUST_001295,jane davis,690, Canada ,Boy,40,4,"$44,513.36",2,1,0,106523.0,0.0,,
CUST_002591,emily rodriguez,538, Germany ,man,51,6,none,0,0,0,119919.0,0.0,,
,"James,Brown",527, India,f,18,6,31561.74,1,FALSE,0,"$46,740",0.0,,
2181,james brown,623,Spain,MALE,37,3,42563.54,3,1,0,59833.0,0.0,,
ID-2418, James Smith ,MISSING,Nigeria,Female,60,4,85416.77,1,N,1,59704.0,1.0,,
ID-2951,JOHN DAVIS,560,USA,Girl,58,7,93058.67,2,1,1,"$46,124",0.0,,
UA02207,JAMES RODRIGUEZ,512,uae,empty,32,7,11812.74,2,0,0,84341.0,0.0,C,123
IT01296,"Jane,Garcia",640,italy,Boy,27,4,14275.97,1,N,0,50727.0,0.0,B,456
ID-2494,JOHN DAVIS,454,saudi arabia,girl,48,5,5805.63,2,NO,inactive,"$45,266",0.0,,
ID-1422,#VALUE!,626, South Korea,man,42,3,"$9,863.54",none,1,1,83801.12,0.0,,
CUST_002177,James Johnson,485,uae,m,52,3,88769.7,2,0,1,38272.0,0.0,,
CUST_001584,Maria Rodriguez,484,colombia,Male,38,4,"$45,008.13",1,Yes,0,Infinity,0.0,,
1099,DAVID RODRIGUEZ,504, UAE ,man,27,3,901.78,50,1,False,89116.0,0.0,,
SO01924,n/a,??,south korea,Male,150,6,25387.31,2,NULL,0,"$95,844",1.0,C,123
1453,"Emily,Brown",#N/A, Japan,MALE,29,7,61272.08,2,0,0,20559.0,0.0,,
ID-1143,jane williams,NaN,Chile,-inf,20,8,91585.75,4,0,1,37972.0,1.0,,
ID-1971,"John,Garcia",505, Brazil,inf,57,5,"79,379.38",2,No,False,29893.0,0.0,,
C2688, John Williams ,660,Spain,Female,28,4,"21,498.74",2,0,1,41211.0,0.0,,
CUST_002580,James Miller,611,NETHERLANDS,F,0,3,NA,1,0,1,61389.0,0.0,,
ID-2656, Lisa Davis ,652,USA ,Girl,55,7,999999999,3,0,1,122967.0,0.0,,
C2321,Lisa Rodriguez,513,SINGAPORE,MAN,31,4,"$7,527.87",2,YES,0,98801.0,0.0,,
C2512, Michael Brown ,555,Singapore,boy,28,4,54254.31,1,Yes,1,92333.0,1.0,,
CUST_002384,emily brown,467,ARGENTINA,MALE,18,4,"$31,594.10",3,1,0,38503.0,0.0,,
CUST_001381,MARIA MARTINEZ,598, South Korea ,Girl,41,6,NULL,1,nil,False,26498.0,0.0,,
ID-2021,sarah smith,511,Japan ,Girl,34,5,107168.96,3,1,True,97429.0,0.0,,
ID-2386,SARAH WILLIAMS,545, India ,man,41,7,Null,3,0,1,56171.0,0.0,,
ID-2109,Maria Martinez,na, Germany,M,62,5,53388.83,2,0,0,104465.0,0.0,,
CUST_002404,undefined,643,UK,Girl,46,5,5028.94,2,0,active,48855.67,1.0,,
AR01905,Emily Rodriguez,469, Argentina ,Boy,38,5,156200.69,1,0,0,48583.0,0.0,,
2246,Lisa Davis,601, India,Man,31,9,33081.53,MISSING,1,0,76149.0,0.0,,
ID-2916,"Jane,Rodriguez",494,SAUDI ARABIA,Boy,50,void,29002.77,2,0,False,23061.0,1.0,,
C1592,"Sarah,Martinez",507,uae,boy,38,4,131813.85,1,1,0,57558.0,0.0,,
AR02583,"Lisa,Rodriguez",501, Argentina ,Boy,62,6,2215.66,2,1,1,39694.0,1.0,,
?,N/A,570,Japan,Man,31,3,,1,0,0,"$85,552",0.0,,
SA01838, Jane Williams ,418,NIL,boy,20,3,72114.74,1,none,1,52617.0,0.0,,
CUST_002325,"John,Rodriguez",554, Chile,female,47,6,N/A,4,0,FALSE,22987.0,0.0,,
C1355,James Rodriguez,545,netherlands,M,46,8,117358.09,3,0,1,96920.0,0.0,,
C1391,Robert Smith,659,NETHERLANDS,f,59,2,15869.59,1,0,1,87874.0,0.0,,
ID-1852,"Michael,Williams",631,SOUTH KOREA,male,54,4,9396.33,2,0,1,68756.0,0.0,B,
C2486,"Michael,Martinez",564, UAE ,Girl,26,5,999999999,3,0,0,32103.0,1.0,,
ID-1101,"David,Davis",618, USA ,Woman,42,7,"$12,454.24",1,False,active,123550.0,0.0,,
CUST_002351,lisa miller,UNKNOWN, Japan ,MAN,44,2,18930.49,3,YES,INACTIVE,UNDEFINED,1.0,,
CUST_002034,EMILY MILLER,483,BRAZIL,girl,20,missing,"34,065.17",1,1,0,77051.0,0.0,,
CUST_002854,LISA DAVIS,484,ARGENTINA,MAN,29,3,"$63,453.99",10,1,ACTIVE,46856.0,0.0,,
C2648,john davis,623, Spain ,MALE,63,6,117764.43,1,--,0,119011.0,1.0,C,123
C1519,david miller,661,UK,boy,25,8,54282.52,2,1,0,undefined,0.0,,
ID-1301,"Maria,Brown",500, Colombia ,F,45,5,14381.23,2,0,FALSE,49811.0,0.0,,
ID-1269,Michael Miller,580,south korea,woman,inf,2,32781.99,2,0,TRUE,29480.0,0.0,,
FR02825, Maria Rodriguez ,623,France,WOMAN,38,5,69657.08,2,1,1,N/A,1.0,,
